2019-01-09, 145
2019-01-08, 116
2019-01-07, 144
2019-01-06, 154
2019-01-05, 141
2019-01-04, 134
2019-01-03, 132
2019-01-02, 132
2019-01-01, 121
2018-12-31, 127
2018-12-30, 126
2018-12-29, 143
2018-12-28, 122
2018-12-27, 117
2018-12-26, 131
2018-12-25, 129
2018-12-24, 148
2018-12-23, 156
2018-12-22, 147
2018-12-21, 142
2018-12-20, 114
2018-12-19, 115
2018-12-18, 125
2018-12-17, 138
2018-12-16, 125
2018-12-15, 125
2018-12-14, 120
2018-12-13, 151
2018-12-12, 125
2018-12-11, 134
2018-12-10, 125
2018-12-09, 126
2018-12-08, 125
2018-12-07, 119
2018-12-06, 121
2018-12-05, 162
2018-12-04, 124
2018-12-03, 149
2018-12-02, 148
2018-12-01, 132
2018-11-30, 37
2018-11-29, 221
2018-11-28, 398
2018-11-27, 150
2018-11-26, 11
2018-11-25, 7
2018-11-24, 10
2018-11-23, 22
2018-11-22, 7
2018-11-21, 11
2018-11-20, 21
2018-11-19, 5
2018-11-18, 7
2018-11-17, 19
2018-11-16, 7
2018-11-15, 28
2018-11-14, 18
2018-11-13, 2
2018-11-12, 12
2018-11-11, 6
2018-11-10, 24
2018-11-09, 20
2018-11-08, 6
2018-11-07, 12
2018-11-06, 6
2018-11-05, 11
2018-11-04, 8
2018-11-03, 22
2018-11-02, 5
2018-11-01, 14
2018-10-31, 18
2018-10-30, 12
2018-10-29, 70
2018-10-28, 55
2018-10-27, 49
2018-10-26, 25
2018-10-25, 4
2018-10-24, 24
2018-10-23, 18
2018-10-22, 16
2018-10-21, 6
2018-10-20, 15
2018-10-19, 31
2018-10-18, 13
2018-10-17, 11
2018-10-16, 27
2018-10-15, 26
2018-10-14, 12
2018-10-13, 12
2018-10-12, 22
2018-10-11, 10
2018-10-10, 28
2018-10-09, 29
2018-10-08, 16
2018-10-07, 11
2018-10-06, 20
2018-10-05, 17
2018-10-04, 10
2018-10-03, 12
2018-10-02, 11
2018-10-01, 6
2018-09-30, 5
2018-09-29, 16
2018-09-28, 16
2018-09-27, 10
2018-09-26, 12
2018-09-25, 12
2018-09-24, 10
2018-09-23, 13
2018-09-22, 14
2018-09-21, 6
