#            mprod              mhscp              width               c000               c100               c200               c300
     5.5000000e+01      5.0000000e+01      0.0000000e+00      6.2661660e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-22      6.2661466e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-20      6.2642215e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-19      6.2467479e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      5.0000000e-19      6.1696754e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-18      6.0746707e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.8000000e-18      5.9256966e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      3.2000000e-18      5.6737290e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      5.6000000e-18      5.2664579e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-17      4.5942045e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.5000000e-17      3.9338206e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      2.2000000e-17      3.1656323e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      3.2000000e-17      2.3209668e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      4.6000000e-17      1.5030064e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      6.8000000e-17      7.5931076e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-16      2.8124638e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.5000000e-16      5.9584059e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      2.2000000e-16      6.7856455e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      3.2000000e-16      3.0456487e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      4.6000000e-16      3.9500870e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      6.8000000e-16      4.2777210e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-15      2.0793256e-19      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.5000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      2.2000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      3.2000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      5.6000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      5.0000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      0.0000000e+00      6.2661660e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-22      6.2661466e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-20      6.2642245e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-19      6.2467780e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      5.0000000e-19      6.1698241e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-18      6.0749634e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.8000000e-18      5.9262106e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      3.2000000e-18      5.6746042e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      5.6000000e-18      5.2678797e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-17      4.5964204e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.5000000e-17      3.9366679e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      2.2000000e-17      3.1689951e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      3.2000000e-17      2.3245565e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      4.6000000e-17      1.5063525e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      6.8000000e-17      7.6181492e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-16      2.8261458e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.5000000e-16      6.0020932e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      2.2000000e-16      6.8591049e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      3.2000000e-16      3.0940661e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      4.6000000e-16      4.0415653e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      6.8000000e-16      4.4272545e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-15      2.1921909e-19      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.5000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      2.2000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      3.2000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      5.6000000e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.8000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      3.7000000e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      0.0000000e+00      6.2661660e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-22      6.2661465e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.0000000e+01      5.0000000e+01      1.0000000e-20      6.2642206e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
